Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide
The Flip Side: A Truth That Could Not Reach You,2015,,48,https://m.media-amazon.com/images/M/MV5BMjVjNzM3NWEtNTBhOC00Yjc0LWI4MjgtYmM3NjZhZjc5YzYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTU4NDI0NjQ@._V1_.jpg,,['Documentary'],9.1,1770,['India'],['Utpal Kalal'],['Utpal Kalal'],"['Subramanian Swamy', 'Shiva Shambh Bhatt', 'Asaram Bapu']","Amid media trial surrounding Saint Asaram Bapu&apos;s alleged sexual assault case, a film crew explores his ashram, torn between accusations and revered practices. As the court trial nears, will ascetic seekers leave ashram midst this ...",,,,
Dominion,2018,Not Rated,120,https://m.media-amazon.com/images/M/MV5BOWMyNzExNzctOWNjNy00MzMxLWJlYWMtYjJiYmM0Mjg0YWZmXkEyXkFqcGdeQXVyNTU5NjAwMTQ@._V1_.jpg,https://www.imdb.com/video/vi2632499993/,"['Documentary', 'Horror']",9.0,4236,['Australia'],['Chris Delforce'],['Chris Delforce'],"['Joaquin Phoenix', 'Rooney Mara', 'Sia']","Dominion uses drones, hidden and handheld cameras to expose the dark underbelly of modern animal agriculture, questioning the morality and validity of humankind&apos;s dominion over the animal kingdom.",,,,
Aynabaji,2016,,147,https://m.media-amazon.com/images/M/MV5BOTQzYjk2ZTYtM2FhNi00ODQ1LWI0YWYtZDVhMzRiN2ZlMzQ5XkEyXkFqcGdeQXVyMTE3MzIyMDM5._V1_.jpg,https://www.imdb.com/video/vi3650076953/,"['Crime', 'Mystery', 'Thriller']",9.0,29224,['Bangladesh'],['Amitabh Reza Chowdhury'],"['Syed Gaosul Alam Shaon', 'Anam Biswas', 'Adnan Adib Khan']","['Chanchal Chowdhury', 'Masuma Rahman Nabila', 'Partha Barua']","A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.","BDT 35,000,000 (estimated)",,,
Oggatonama,2016,,100,https://m.media-amazon.com/images/M/MV5BNDU0MjViZmQtNzdmZS00YjhlLWE4ZGMtMDJlODAzMGI5ODIwXkEyXkFqcGdeQXVyNDI3NjcxMDA@._V1_.jpg,,['Drama'],9.0,5701,['Bangladesh'],['Tauquir Ahmed'],['Tauquir Ahmed'],"['Shahiduzzaman Selim', 'Ashraful Tushar', 'Mosharraf Karim']",The coffin of an expatriate worker with manipulated identity intense the identity crisis when another person&apos;s corpse is found inside.,,,,
O.J.: Made in America,2016,TV-MA,467,https://m.media-amazon.com/images/M/MV5BNGNmYmY3OTktMWM1Ni00NTU1LTk0ZjctMDcwYjViMjY0MTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi3901735705/,"['Documentary', 'Biography', 'Crime']",8.9,20989,['United States'],['Ezra Edelman'],[],"['Kareem Abdul-Jabbar', 'Mike Albanese', 'Muhammad Ali']","A chronicle of the rise and fall of O.J. Simpson, whose high-profile murder trial exposed the extent of American racial tensions, revealing a fractured and divided nation.",,,,
BTS World Tour: Love Yourself in Seoul,2019,,112,https://m.media-amazon.com/images/M/MV5BYzJhMGVhMTgtM2M1NS00MmE3LTllOTUtYmEwNzFkYjk3Y2JjXkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_.jpg,https://www.imdb.com/video/vi1576911129/,"['Documentary', 'Music']",8.9,2012,['South Korea'],,,"['BTS', 'j-hope', 'Jimin']","A concert film by South Korean group BTS. The movie takes place during the August 25 and 26, 2018 shows of their Love Yourself Tour at Seoul Olympic Stadium.",,"$3,509,917","$2,860,016","$10,195,760"
Natsamrat,2016,,166,https://m.media-amazon.com/images/M/MV5BYjkzZWIyZTctN2U3Ny00MDZlLTkzZTYtMTI2MWI5YTFiZWZkXkEyXkFqcGdeQXVyNTM2NTg3Nzg@._V1_.jpg,https://www.imdb.com/video/vi2172238361/,"['Drama', 'Family']",8.8,7055,['India'],['Mahesh Manjrekar'],"['Abhijeet Shirish Deshpande', 'Mahesh Manjrekar', 'Guru Thakur']","['Nana Patekar', 'Medha Manjrekar', 'Mrunmayee Deshpande']","After he retires, an aging theatre actor and his wife begin to feel unwanted by their children.",,,,$633
Katyar Kaljat Ghusali,2015,,162,https://m.media-amazon.com/images/M/MV5BNTYxZTQ0N2ItNjYzOS00ZTRjLWJkNmYtNDU1MDhmYWVhOWZkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/video/vi548322841/,['Musical'],8.8,2504,['India'],['Subodh Bhave'],"['Purushottam Darvekar', 'Prakash Kapadia']","['Sachin Pilgaonkar', 'Shankar Mahadevan', 'Subodh Bhave']","A clash of two musical families, where in the end, music is the winner. When greed takes the front seat, manipulations shift gears. A race starts, a race that kills whatever comes across the way, a race that ultimately ends on the...",,,,
C/o Kancharapalem,2018,,152,https://m.media-amazon.com/images/M/MV5BYjg2YWM0YzUtODViNS00OWRkLWI0YmItNDdhODUwMjVhYjQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi2254486297/,['Drama'],8.8,7695,['India'],['Venkatesh Maha'],['Venkatesh Maha'],"['Radha Bessy', 'Subba Rao Vepada', 'Praneeta Patnaik']",Four unconventional love stories set in the town and including the people of Kancherapalem.,,,,
On vam ne Dimon,2017,,50,https://m.media-amazon.com/images/M/MV5BZDBhZTE3OWMtMjE3OC00MzQ2LWFmMGUtN2RmODM1OTBkMjMyXkEyXkFqcGdeQXVyNjE0NjA2MDc@._V1_.jpg,,['Documentary'],8.8,3930,['Russia'],['Alexei Navalny'],[],"['Georgy Alburov', 'Dmitry Medvedev', 'Alexei Navalny']","Don&apos;t call him Dimon is a 2017 Russian documentary film about the corrupt affairs of Prime Minister of Russia Dmitry Medvedev. According to the film, Dmitry Medvedev has stolen property estimated to be worth about $1.2 billion.","RUR 451,000 (estimated)",,,
