Uruttu Tech,2023,1h 6m,66,"https://m.media-amazon.com/images/M/MV5BYjIwMDkwNDUtZTE4My00Y2U0LTg1ZTMtNjcyYWEyZDRlNTQxXkEyXkFqcGdeQXVyMTI4Mjk4MDc4._V1_QL75_UX190_CR0,0,190,281_.jpg",,Comedy,9.7,8400,India,,,,The tech war between truth and deception begin upon the community and its destiny is unknown,,
Spark: L.I.F.E.,2023,2h 50m,170,"https://m.media-amazon.com/images/M/MV5BMjRmNjBkODctY2IzNC00NTE1LTk1NzItZTFlZDVkMDkwMTU2XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_QL75_UY281_CR77,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi3502622489/1434659607842-pgv4ql-1697290407383.mp4?Expires=1701138604&Signature=bf8pektfRo9GPSB2iGITVkty6~ZGk1FIscCTTPQyZmdwOr6ePzDcX6az~6ha7b2z56XtDTHYUn6~B9k3IagSzcFUpsR4LG9KJnj8wIvkUeJ0x~AjJKfLiVYg8aP2lyBk1vXu75pQYwAqKt~nXFJQBSCAsLf8HQy6vI1aG886hK2ZqPU5-pYDi6XhBIWoQdQgALDeTH08yNDq8KBXdTid-ADPZzgocsxhKl~tpTmfqlBUwimc9wqEwhSz1CYP29zAfrw1ytgm5LVFJp6WK5B1eO4cAEAWd1f1T5paEdugPe1~pZuneOLKk6atU4aTCuw1C8QSxFuXNx1tAPWXosMQvw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Romance, Thriller",9.6,2000,India,Vikranth Reddy,"Umarji Anuradha, Mahesh, Vikranth Reddy","Vikranth Reddy, Mehreen Pirzada, Rukshar Dhillon, Guru Somasundaram, Nassar, Vennela Kishore, Suhasini, Satya, Brahmaji, Srikanth Iyengar, Annapurnamma, Raja Ravindra, Kiran Ayyangar, Chammak Chandra, Abhinav Gomatam","Jay's love for Ananya leads to a deadly chain of events while Lekha's dreams collide with a stranger named Arya. As suicide killings grip the nation, a sinister force entwines their lives. Is Arya a friend or a foe?",,
Mandali,2023,1h 58m,118,"https://m.media-amazon.com/images/M/MV5BYmRiYTAzMmItMDQ0MS00ZWQxLWI4YmItYTdkZWZjZGVkOGI0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY281_CR18,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi3687171865/1434659607842-pgv4ql-1697286114002.mp4?Expires=1701138627&Signature=aITQWS3NV1rEeTve8RRBqov8ZtkxnBXkif8ae4QJr70Jb62XNA91BA5R7GajbUDcBZ3PEEq7BF26M51uMs3OyW-ykN0DJAOuR-1PN59TQcQizEygmmGjbiDi4x8a5joUZCFjKRQ7cQCrfg9JJzCQ1S0iVa0yWFvO0tQRw5l02WW0JsWvl1q2r4UPICzs08v400eaA4feqwwt8KuIAdr4MdZSVV3d7v~psCNwLDVmZtJMhPb9YCRRwLS~u-VWZe5QI5cenb3VPHBYPT-Fnn0XcmUsajtstrygs3qQVdjutlK4ZvSCaFhImlTXh3BLtpy0gUf846W2lK6BJzY0S0Cfgw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,9.6,1100,India,Rakesh Chaturvedi Om,"Vinay Agrahari, Pallav Jain, Rakesh Chaturvedi Om","Alka Amin, Mark Arvind, Ashwath Bhatt, Rajneesh Duggal, Abhishek Duhan, Krish Gupta, Brijendra Kala, Vijay Kumar, Vineet Kumar, Aanchal Munjal, Sandeepan Vimalkant Nagar, Saharsh Kumar Shukla, Kanwaljeet Singh, Neeraj Sood, Bhasha Sumbli",It mirrors the journey of a man and his struggle to uphold righteousness in times of diminishing social conscience and downfall of cultural and traditional values.,,
Behind Closed Doors,2023,1h 4m,64,"https://m.media-amazon.com/images/M/MV5BY2I2YzJiMWMtNGRmYi00ZjM1LTgyYTctYjk4NjU3ZTE2MWJiXkEyXkFqcGdeQXVyNTY1NjA0ODA@._V1_QL75_UX190_CR0,0,190,281_.jpg",,Documentary,9.5,1400,United Kingdom,Michael Oswald,"Murtaza Mehdi, Michael Oswald","Mirza Shahzad Akbar, Fawad Chaudry, Irfan Hashmi, Emin Huseynov, Imran Khan, John-Allan Namu, Arshad Sharif, Tom Stocks, Rachel Davies Teka","Politically Exposed Persons (PEPs) are people who hold a public function and as a result, present higher risks of being involved in bribery or corruption. Offshore leaks have revealed repeatedly that PEPs use British finance and British offshore jurisdictions to launder their wea... Read all",,
Yesterday's Past,2021,1h 23m,83,"https://m.media-amazon.com/images/M/MV5BZTZlOWFmMGQtYmRiYS00NTZlLWE0OGQtOTY1ZDJkYjQ4MzFlXkEyXkFqcGdeQXVyNDUyOTM2MDQ@._V1_QL75_UY281_CR116,0,190,281_.jpg",,Drama,9.5,3100,India,Nila Madhab Panda,Nila Madhab Panda,"Pitobash, Sonalli Sharmisstha","A man returns to his home village hoping to reunite with his family, only to find it under water due to a cyclone. Now, another cyclone is coming, and the man struggles to survive.",,
Dvand: The Internal Conflict,2023,1h 56m,116,"https://m.media-amazon.com/images/M/MV5BNzBjNWRmYTgtMTIwZi00ZWM2LTkyNWUtMWIzNDA2ZWFiNTc4XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_QL75_UY281_CR46,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi4140156697/1434659607842-pgv4ql-1697308672754.mp4?Expires=1701138667&Signature=Tv5CHLInvTI1gbxlYLewYm6L4gvgOZhOgmg59LOoAqaX-q11TYkv~kTlRczm7Ism5CJZl--X17K1M9jFeDrwhnCDwDwACahqoiNXtTpQ0dTkyudNA-gWWCGSz2qWBZGhn~ZlPUQSZjfyXVZSeCYTPolUInWtH08AyS0sY9~71E1FTbJr5ZSaYkYs-XIS36p-EdvfuFswfldCCaxpXeDURru2sYPQoFx2taZCvhSVQY3fy8ytW13dfD74xerntV2y1Spk96K3k9lkl3-w8thg5ClR8ZUw9WXe8NWloZFKs4QDX9-~-~7vp6nVp6Rz7zxRjfSV-eRv6n5gveKdp1GGYw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,9.5,1000,India,Ishtiyak Khan,Ishtiyak Khan,"Vishwanath Chatterjee, Dheerendra Dwivedi, Ishtiyak Khan, Vikram Kochhar, Sanjay Mishra","Dvand: The Internal Conflict is a Hindi movie released on 29 Sep, 2023. The movie is directed by Ishtiyak Khan and featured Ishtiyak Khan, Vikram Kochhar, Sanjay Mishra and Tina Bhatia, Ipsita Chakraborty as lead characters.",,
Starfish,2023,,,"https://m.media-amazon.com/images/M/MV5BZDYzMzRlN2YtNTRhMS00ZDk3LWE1YjItMWUyN2UzOWRiOGEwXkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_QL75_UY281_CR18,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi1730922265/1434659607842-pgv4ql-1700218965359.mp4?Expires=1701138692&Signature=tb8dZ1vU3uQRtq0iyJsY5diAhs7JFjg58lQ2lo07DU0QXjW24KRAZytLqz2ELDodQYnTrWEK-P9rtZqRJmDzBglCFQS-TJq7jXlioW7aTkVmcYXXzyFEFO4IggotPXg-vivBV4Iibsm0Pcbe~KeuYCekLAOjF3e~NqJC~f5BtgcyP-S9Y1vB7TnzK0dtKFS~yq-nzPPYMeR1m9k4fHt4rZogG8baITv6DX7o4~NUL0ZyISAXL~UTOzGs0OqsWiVbF5Cc1iKZBIoTPy1JKo8kHOnV0lO~GO0Nso9pkwsQ86jNAWwifaUmaSW66QIXn3GVxslIPsJ8-3bNH1H1HjFIXw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance, Thriller",9.3,15000,United States,Akhilesh Jaiswal,"Aditya Bhatnagar, Akhilesh Jaiswal, Bina Nayak","Khushali Kumar, Milind Soman, Ehan Bhat, Tusharr Khanna, Mike Parish, Jagat Rawat, Nikhat Khan, Marc Cabourdin, Sambhav Jain, Catalin Bindiu, Pawan Shankar, Maxime Durand",Beautiful journey through the depths of the underwater world as we witness a gripping tale of grief and healing unfold before our eyes.,,
The Silence of Swastika,2021,56m,,"https://m.media-amazon.com/images/M/MV5BOGFmMjU1ZjUtZTJlMy00MjBiLTk3NmUtOTZmMGQ3NTQzNGY2XkEyXkFqcGdeQXVyMjIzMjkyMzg@._V1_QL75_UY281_CR46,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi3644769049/1434659607842-pgv4ql-1641603368927.mp4?Expires=1701138706&Signature=LvWwCtiO4n0jFLo1YWePhRWBjtpUaxDbdwpbPWZ6BzXDIyIIYAumpO9SXH41qqgrU5AzVdNQMIknPymrVF9r1XbDZmZfC-KSGWEbyMyYwoVpDPL2gcgjVUBj8DqiFc~E6FfzfQOOUkUHEB~egW6~GSBkY6fCc~Sa6T4RsUy5QxvwZRj8lV24b4toBt6uS--6CTcJJGPZ-cVTu02Qln3HXIVdk4~80z0k8QJ6XmR2mEU8TizrmDpyHcgFuLYG0R-eJAkE40w08AcmQXpgg7fEIDWAp6~QrD6ZmqlimKOui-IXu-RfR4VGKBAkOvn~3ALoBV8bjGI1iQtNaE3TZNnrQw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Documentary, History",9.4,10000,India,Anuj Bhardwaj,,Suzanne Bernert,"Hitler used a symbol for his political and racial ideology. The world today calls that symbol ""Swastika"", an Indian name to a symbol used by Hindus, Buddhists, and Jains for ages. But was it a Swastika? or Something else?",,
Pyaari - Tarawali the True Story,2023,2h 23m,143,"https://m.media-amazon.com/images/M/MV5BY2E1MWEyYzItM2ViNC00ZmI4LTlmZDAtMjBjODNhNTYxMmQ5XkEyXkFqcGdeQXVyODI1MTQ5ODY@._V1_QL75_UY281_CR11,0,190,281_.jpg",https://imdb-video.media-imdb.com/vi892716825/1434659607842-pgv4ql-1698745729346.mp4?Expires=1701138720&Signature=hnRez6aWtFf-Se0O2qjtytwzKpPfCmeLPCNU~yPm7rT0JqIFTNljiwFC31CySdrTWPbPPb-0b7c8F0SIBIvjXiLwIPWcNYovEShbKSQ9jYym-aIYhYonpckV3RDNqs~3IXM44f4ws5vU6-nbCwJZN8lcgeIyjBFxZcF4HOltRs4IpqMeRLmrzIn9SupeorjfBMQKePPMG2mQiGIZLjbFym4A03Oe6~8UvTWz8amU-GrIIZxA3TJRQ8gdTz51GvNM3pS1LBRcXZW-YyHXPI8T-ziGaYtEljRile4XRL0O8kmPay8G04AwCZLeXPKbvV3IMwdf3yhpjqdOdNgo8o0abg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance",9.4,1100,India,Rajneesh Dubey,Rajneesh Dubey,"Dolly Tomar, Uday Atrolia, Bobby Vats, Rajneesh Dubey, Satya Agnihotri, Bahadur Singh Dangi, Sangeeta Srivastav, Devu Namdev, Sushil Soni, Ram Shankar Shivhare, Chandrabhan Singh, Manju Raikwar, Rohit Mewade, Shourya Jain, Tapasya Tiwari, Rajni Singh, Shikha Bhardwaj, Jitendra Dixit","An intense and captivating love story drama of Pyaari, an enigma of womanhood, desiring love with freedom and of a common dreamy tea-seller Laxman Chai wallah.",,
Mariguddada Gaddadharigalu,2023,2h 26m,146,"https://m.media-amazon.com/images/M/MV5BYmI3MzU1YjYtMjg0ZS00ZmFjLTg4MzEtNTgxZTlkNzcwZTc5XkEyXkFqcGdeQXVyMTU0MDA4MDkz._V1_QL75_UX190_CR0,47,190,281_.jpg",https://imdb-video.media-imdb.com/vi3789670169/1434659607842-pgv4ql-1693900408497.mp4?Expires=1701138734&Signature=L5SQaY74am6OnlwZ~t~UoyUfZG6IMs0uwcLpdu54PdDO6bhV9XXKRBICGsqf9cb6GgHpicC7uWDHfb6nOX85rBiktzG3Vcb0WJ3NacjLonToLSqDiU6MKoKQOlatBFNsWddJZGccQ8ds1TNg9G7wZvbhuOWfAmS3azJ0XhaEFsbnDZj6B1ahq~B6nziNRNAyzi1PmyKJyCKosSYStucuJpJ0WpqlxC~5ZCU4yyu~uTsNzjylhdJoCIV3hN4SEpS2kIgszDSTADyZEGiLCM1bGP25TuyyUUhcI1xMRunMU~zA3KQnwgPjbVxsD2qIDF1TlCBecfOHHjPirCSQdcPWnQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Thriller,9.3,1000,India,R Chandrakant,R Chandrakant,"Praveen Raj, Dinesh Kumar D, Namratha, Avinash, Baby Marisha, Ganesh Rao","A fictional story set in 1994, atop a hill Marigudda. A Group of bearded men headed by Hulia are killing and robbing people. Madesha sketches a plot to put an end to this.",,
