Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Cost,Income
The Hunger Games,2012,6+,142.0,https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_.jpg,https://www.imdb.com/video/vi37406489/,"['Action', 'Adventure', 'Sci-Fi']",7.2,972675,['United States'],['Gary Ross'],"['Gary Ross', 'Suzanne Collins', 'Billy Ray']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Katniss Everdeen voluntarily takes her younger sister&apos;s place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,"$78,000,000 (estimated)","$408,010,692","$152,535,747","$695,220,619","$78,000,000 (estimated)","$695,220,619"
The Hunger Games: Catching Fire,2013,6+,146.0,https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_.jpg,https://www.imdb.com/video/vi37406489/,"['Action', 'Adventure', 'Sci-Fi']",7.5,700519,['United States'],['Francis Lawrence'],"['Simon Beaufoy', 'Michael Arndt', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,"$130,000,000 (estimated)","$424,668,047","$158,074,286","$865,011,746","$130,000,000 (estimated)","$865,011,746"
Scott Pilgrim vs. the World,2010,PG-12,112.0,https://m.media-amazon.com/images/M/MV5BNWI5ODc4MTAtN2U2NC00ZDk3LWE3NjAtNjIyODE2YTlhYjYwXkEyXkFqcGdeQXVyOTA3ODI3NDA@._V1_.jpg,https://www.imdb.com/video/vi4036739097/,"['Action', 'Comedy', 'Fantasy']",7.5,454254,"['United States', 'United Kingdom', 'Canada', 'Japan']",['Edgar Wright'],"['Michael Bacall', 'Edgar Wright', 'Bryan Lee O&apos;Malley']","['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin']","In a magically realistic version of Toronto, a young man must defeat his new girlfriend&apos;s seven evil exes one by one in order to win her heart.","$60,000,000 (estimated)","$33,281,690","$10,609,795","$49,421,974","$60,000,000 (estimated)","$49,421,974"
Lo imposible,2013,PG-13,114.0,https://m.media-amazon.com/images/M/MV5BMWFjZDVjYjMtZWIyMS00MTkwLWI1OWMtMzNmZjgzMGVlODM4XkEyXkFqcGdeQXVyNzYxNjU1ODQ@._V1_.jpg,https://www.imdb.com/video/vi118006809/,"['Drama', 'History', 'Thriller']",7.5,236968,"['Spain', 'Thailand', 'United States']",['J.A. Bayona'],"['Sergio G. Sánchez', 'María Belón']","['Naomi Watts', 'Ewan McGregor', 'Tom Holland']",The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"$45,000,000 (estimated)","$19,019,882","$143,818","$198,087,212","$45,000,000 (estimated)","$198,087,212"
The Wolf of Wall Street,2014,R-18,180.0,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_.jpg,https://www.imdb.com/video/vi2312218649/,"['Biography', 'Comedy', 'Crime']",8.2,1529292,['United States'],['Martin Scorsese'],"['Terence Winter', 'Jordan Belfort']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","$100,000,000 (estimated)","$116,900,694","$18,361,578","$406,878,233","$100,000,000 (estimated)","$406,878,233"
Inglourious Basterds,2009,18 +,153.0,https://m.media-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,https://www.imdb.com/video/vi3738173977/,"['Adventure', 'Drama', 'War']",8.4,1540225,"['Germany', 'United States']",['Quentin Tarantino'],['Quentin Tarantino'],"['Brad Pitt', 'Diane Kruger', 'Eli Roth']","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.","$70,000,000 (estimated)","$120,540,719","$38,054,676","$321,457,747","$70,000,000 (estimated)","$321,457,747"
Whiplash,2015,P,106.0,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi4006456345/,"['Drama', 'Music']",8.5,946657,['United States'],['Damien Chazelle'],['Damien Chazelle'],"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,"$3,300,000 (estimated)","$13,092,000","$135,388","$49,441,482","$3,300,000 (estimated)","$49,441,482"
Inception,2010,PG-12,148.0,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,https://www.imdb.com/video/vi2959588889/,"['Action', 'Adventure', 'Sci-Fi']",8.8,2488967,"['United States', 'United Kingdom']",['Christopher Nolan'],['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","$160,000,000 (estimated)","$292,587,330","$62,785,337","$839,030,630","$160,000,000 (estimated)","$839,030,630"
Legion,2010,R-12,100.0,https://m.media-amazon.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_.jpg,https://www.imdb.com/video/vi3208906009/,"['Action', 'Fantasy', 'Horror']",5.3,110188,['United States'],['Scott Stewart'],"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Dennis Quaid', 'Charles S. Dutton']","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity&apos;s last...","$26,000,000 (estimated)","$40,168,080","$17,501,625","$67,918,658","$26,000,000 (estimated)","$67,918,658"
Pitch Perfect,2012,P,112.0,https://m.media-amazon.com/images/M/MV5BMTcyMTMzNzE5N15BMl5BanBnXkFtZTcwNzg5NjM5Nw@@._V1_.jpg,https://www.imdb.com/video/vi3780682265/,"['Comedy', 'Music', 'Romance']",7.1,324837,['United States'],['Jason Moore'],"['Kay Cannon', 'Mickey Rapkin']","['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson']","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school&apos;s all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.","$17,000,000 (estimated)","$65,298,093","$5,149,433","$115,647,426","$17,000,000 (estimated)","$115,647,426"
The Social Network,2010,12+,120.0,https://m.media-amazon.com/images/M/MV5BOGUyZDUxZjEtMmIzMC00MzlmLTg4MGItZWJmMzBhZjE0Mjc1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi4152690201/,"['Biography', 'Drama']",7.8,742361,['United States'],['David Fincher'],"['Aaron Sorkin', 'Ben Mezrich']","['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake']","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.","$40,000,000 (estimated)","$96,962,694","$22,445,653","$224,920,375","$40,000,000 (estimated)","$224,920,375"
Prometheus,2012,12+,124.0,https://m.media-amazon.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_.jpg,https://www.imdb.com/video/vi2405016345/,"['Adventure', 'Mystery', 'Sci-Fi']",7.0,632627,"['United Kingdom', 'United States']",['Ridley Scott'],"['Jon Spaihts', 'Damon Lindelof', 'Dan O&apos;Bannon']","['Noomi Rapace', 'Logan Marshall-Green', 'Michael Fassbender']","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.","$130,000,000 (estimated)","$126,477,084","$51,050,101","$403,354,469","$130,000,000 (estimated)","$403,354,469"
Django Unchained,2013,R-18,165.0,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg,https://www.imdb.com/video/vi2291574553/,"['Drama', 'Western']",8.5,1650871,['United States'],['Quentin Tarantino'],['Quentin Tarantino'],"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","$100,000,000 (estimated)","$162,805,434","$30,122,888","$426,074,373","$100,000,000 (estimated)","$426,074,373"
Shutter Island,2010,R-12,138.0,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,https://www.imdb.com/video/vi4064281/,"['Mystery', 'Thriller']",8.2,1411164,['United States'],['Martin Scorsese'],"['Laeta Kalogridis', 'Dennis Lehane']","['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.","$80,000,000 (estimated)","$128,012,934","$41,062,440","$294,805,697","$80,000,000 (estimated)","$294,805,697"
