Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Storyline,Cost,Income
,,,,"https://m.media-amazon.com/images/M/MV5BNTQ3ZjQ5ZTQtZDg4MC00NjBmLWJlMzUtNGZkZDgzZTZmNzYxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_QL75_UX190_CR0,25,190,281_.jpg",,Thriller,3.4,69,United States,Mark Bender,"Donald Farmer, Joe Gillis, Gary Michael Hilton","Danny Fendley, David Ryder, Amy Bush, Sheila Hynd, Donia Hames, Signe Albertson, Cynthia Moore, Tim Caudle, Ray Sands, Terri McLaughlin, Wes Faires, Nicci Roessler, Walter Dunsing, Russell Smiley, Gordon Danniels, Shelby Hofer","Atlanta, GA-area realtor Bobby Wilson has a cabin on a rural tract 200 miles to the north, to where he often flies his airplane carrying abducted, minimally-attached females, who he there releases as game and fatally hunts.",,
,,,,"https://m.media-amazon.com/images/M/MV5BMTY0MTEyNzM4NV5BMl5BanBnXkFtZTcwMzM4NDA0MQ@@._V1_QL75_UY281_CR3,0,190,281_.jpg",,Drama,4.8,135,United States,Steve Binder,"Paul Le Mos, Sasha Wolf","Nicole Eggert, Rosemary Forsyth, Victor Slezak, Johnny La Spada, Denise Faye, Tony Sirico, Marshall Dancing Elk Lucas, Tommy Clohessy, Brette Taylor, Michelle Trachtenberg",Melissa follows her dream of becoming a dancer all the way to New York City. But reality soon crushes her dreams forcing her to become a stripper to make ends meet. The seedy world of sex and drugs leads her into a dangerous love triangle.,,
,1995,,,"https://m.media-amazon.com/images/M/MV5BMDg1MTUzYzItZmI1Yi00NzBiLWFkOTItMmY2ZDkzNWIzZmI4XkEyXkFqcGdeQXVyMzgwNDgwNzQ@._V1_QL75_UY281_CR93,0,190,281_.jpg",,"Comedy, Family, Sci-Fi",2.8,850,United States,Tony Salerno,,"Brady Williams, Willie Aames, Maylo McCaslin, Heather McSmith, Brian Lemmons, Robert T. Schlipp, Lindsay Lewis, Jef Scott, Marc Wayne, Callie Dye, Natasha Smith, Ashley Perry, Tracy Henao, Les VanValkinburgh, Peter Vann, Mark Cole, Kelly La Croix, Kaven Panmeechao","Miles Peterson had everything: Money, power, fame...Until he lost it. Then Miles finds the power of God and harnesses that power to become Bibleman.",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BOTMxZTc4MjEtMzljZC00NzJiLWJiZGYtZmRkMjMwNjRiYzI4XkEyXkFqcGdeQXVyNTQ0MjI5MjM@._V1_QL75_UY281_CR1,0,190,281_.jpg",,"Action, Family, Sport",7.7,327,United States,Kathy Borland,"Norman J. Grossfeld, Alfred Kahn","Herb Perez, Hakim Alston, Jamie Webster, Hien Nguyen, Ho-Sung Pak, Chris Casamassa, Johnny Lee Smith, Michael Bernardo, Christine Rodriguez, Hoyoung Pak, Richard Branden, Larry Lam, Willie Johnson, Erik Betts, Shannon Lee, Bridgett Riley, Michael M. Foley, Sophia Crawford","For centuries, each of the various martial arts disciplines declared its techniques superior to those of the competing combat arts. But there existed no forum in which to prove these claims. Finally, the grand masters set aside their differences and formed a governing body, The W... Read all",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BYTAxNDYzMmMtNjkzOS00MWU3LWFlNjAtYjI1OGViM2EwNGRkXkEyXkFqcGdeQXVyNzAxMzczNTk@._V1_QL75_UY281_CR101,0,190,281_.jpg",,Documentary,8.6,17,United Kingdom,,,,,,
,1995,,,"https://m.media-amazon.com/images/M/MV5BM2VlYWExOWUtNmIxNi00MGYyLWIzZTctZmM3ZTVkZTBhZjZiXkEyXkFqcGdeQXVyMTk4NTIzMzI@._V1_QL75_UX190_CR0,12,190,281_.jpg",,"Drama, Romance",4.4,270,Italy,Joe D'Amato,John Seller,"Erika Savastani, Fabrizia Flanders, Gianni Demartiis, Lino Damiani, Antonio Ascani",,,
,,,,"https://m.media-amazon.com/images/M/MV5BOTkzNzgxOTY5NV5BMl5BanBnXkFtZTcwOTg3NzQyMQ@@._V1_QL75_UY281_CR2,0,190,281_.jpg",,"Drama, Thriller",5.1,414,United States,Craig Singer,Craig Singer,"Ryan Payne Bell, Dechen Thurman, Eddie Malavarca, Matthew Lillard, Lori Heuring, Brian Vincent, Neil Patrick Harris, Stephen Pearlman, Joseph Siravo, Pamela Kramer, John Digaletos, Madison Arnold, Paula Stevens, Gabriel Olds, Scott MacCann, Stephen Payne, Paul Fremder, Tina Krause","Cynical and intelligent Arnold Mosk, a known drug user, is put into a disciplinary program at his high school meant for the seriously disturbed where he becomes the main target of the psychopathic Doug Van Housen and his gang.",,
,1995,,,"https://m.media-amazon.com/images/M/MV5BMTM2MTkyMzQ3Nl5BMl5BanBnXkFtZTcwNTY0NDcyMQ@@._V1_QL75_UY281_CR3,0,190,281_.jpg",,"Crime, Drama, Thriller",3.7,318,United States,Eric Louzil,Chuck Conaway,"L.P. Brown III, Shannon Whirry, Malcolm McDowell, Charles Napier, Larry Manetti, ""Robert ZDar"", Lydie Denier, Larry Linville, Michael Ensign, Obba Babatundé, Joe Estevez, Jay Hastings, Tommy Bull, Robert Axelrod, William Buzick III, Sheri Brummond, Tawnya Foskett, Tawnya Hall",A rugged ex-cop P.I. and a beautiful British female insurance investigator search for diamonds that were stolen in a brutal robbery.,,
,2014,,,"https://m.media-amazon.com/images/M/MV5BZjM1NWU5ODktMGQzMS00ZGE2LWE5ZGItNDFjMGI0NmFmNjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR5,0,190,281_.jpg",,Horror,6.4,911,Japan,Shinichi Fukazawa,Shinichi Fukazawa,"Shinichi Fukazawa, Masaaki Kai, Masahiro Kai, Aki Tama Mai, Asako Nosaka","Trapped inside a haunted house, a body builder must save himself from a gruesome ghost hell-bent on revenge.",,
,,,,"https://m.media-amazon.com/images/M/MV5BMWU0ZjAxYzctOWU2Yy00Y2FjLTllNzktODZlZWU1M2IwMmQ2XkEyXkFqcGdeQXVyNDI3Njk1MA@@._V1_QL75_UY281_CR8,0,190,281_.jpg",,"Comedy, Musical",7.5,194,United Kingdom,Jim Davidson,"Robert Garofalo, Jim Davidson, Bryan Blackburn","Jim Davidson, Charlie Drake, Jess Conrad, Roger Kitter, Dave Lee, Mia Carla, Dianne Lee, David Kirstian, Alan Cullanney, Stephen Joseph, Jayne Kennedy, Emma Stack, Alison Weames, Jo Willats",A bawdy pantomime filmed during the sellout 1995 nationwide tour.,,
